LAMBDA,Lx,OBSID,dec,objid,ra,rad,redshift,type
24.32064200000001,9.38968e+42,0785101901,-4.550064946885168,33512,35.519021109570396,74.93525204777995,0.31039520000000004,ext
23.740953,8.17824e+42,0037980701,-3.6041515906560986,66811,35.723606862101235,58.16581338367257,0.4364514,ext
24.976606,8.13822e+42,0037980701,-3.4137798952703062,171281,35.66743070418926,49.565829383806204,0.5511766,ext
27.41740200000001,2.54887e+42,0210490101,-4.118967235945623,184782,35.90809644605208,49.87308263525563,0.5467273,ext
20.461134,0.0,0111110401,-5.001469493278576,125003,36.09683455600346,61.7041164868823,0.40291712,ext
25.159666,0.0,0780450601,-4.721140982012416,159156,36.09682500670387,50.64867555562671,0.53483754,ext
54.769569999999995,1.50263e+43,0780450501,-4.831172022512663,17793,36.11794990511935,53.004695146120184,0.50006837,ext
34.526222,0.0,0037980301,-3.8603374391721403,160301,36.34834975655868,47.47576306454562,0.58918196,ext
23.985032999999998,4.8468300000000004e+42,0780451201,-4.997723957876307,34223,36.61714129264887,64.48683658692573,0.37925896,ext
25.144410999999998,1.34003e+43,0404964801,-5.663215981457692,21551,36.75433441647225,78.4386723778141,0.29327783,ext
73.0908,4.15676e+43,0674810101,-8.888207065059477,21258,37.24557855286884,52.574218135384854,0.51251125,ext
33.458374,0.0,0677580139,-4.1752788060403665,7820,38.41397675161336,81.58344880658319,0.27814183,ext
25.44951,2.59738e+42,0553300401,-8.363939623177298,313034,40.071988768346635,51.37920488568568,0.52923506,ext
28.500505,0.0,0801610101,-0.05183658005207136,166707,44.20784514579016,49.468455549114765,0.5513411,ext
55.227219999999996,1.28266e+43,0692330401,33.83100407491486,24726,112.17164172902248,63.503716143401334,0.50097215,ext
28.40897600000001,1.00899e+42,0692330401,33.7919697280793,140919,112.40497630395129,62.29518941083825,0.51502585,ext
20.811998000000006,1.7221200000000004e+43,0503600201,30.87640495005441,117621,116.81281405556965,57.6896704736896,0.55057573,ext
28.347956,1.1430900000000002e+43,0503600201,31.12792309494168,127765,116.7927708621917,59.31204780330859,0.53018636,ext
21.071333,4.3654300000000004e+42,0670040101,39.058407746273076,36618,118.76405292530501,89.23650832026055,0.34257236,ext
20.842508,6.03341e+42,0763460201,15.301180514185418,53852,119.98543211082388,62.17809568177017,0.41693136,ext
21.559492000000002,2.45358e+43,0679181401,11.150415259834864,139356,120.2578356311059,49.61399968084379,0.56501675,ext
28.3327,0.0,0206100101,15.255769969835212,64267,121.56562877684028,59.576622176803085,0.4426274000000001,ext
23.039225,8.637220000000001e+42,0404911201,1.3801647333535307,14485,125.411801471784,86.37111896686065,0.25809896,ext
21.254393,9.65604e+42,0504102001,30.118658065127512,94547,126.06495279994586,59.814788376166916,0.5155031,ext
22.84091,5.941270000000001e+42,0504102001,29.860299378349872,108125,126.21284936885523,60.67241910159282,0.5028439,ext
20.400114000000002,0.0,0103260601,26.48714124976412,251639,126.6411558916696,55.84420320597019,0.5428048000000001,ext
21.879847,3.00567e+43,0724791331,42.21474582117533,180326,126.83668523209371,70.8084146883607,0.50531507,ext
22.886675,4.81404e+42,0554540201,37.90894534440465,177642,127.72574203902798,66.8234060584382,0.5013645,ext
24.518957,6.90084e+42,0502220301,52.59588414927166,117465,127.80047748684322,80.32272905501259,0.5630129,ext
20.964548,5.77236e+42,0762260101,1.9306536094456752,69759,128.82532978677864,61.096495618267,0.40664324,ext
51.764343,6.726350000000001e+42,0650381701,29.797794422341546,5668,131.4656189860892,70.95341653354126,0.40198845,ext
22.41377,8.37581e+42,0720340301,1.4908340036612668,166273,131.6143603336821,53.53570061608934,0.4904992,ext
25.205431,0.0,0720340301,1.5325741063516192,13621,131.7533689825687,52.87346223685745,0.49953026,ext
37.13482,0.0,0761500201,19.9532985111766,39188,133.7678580182531,57.663764919686855,0.48150292,ext
25.251196,6.54183e+43,0085030101,58.788172875734645,184463,133.82751814884742,94.99743768969893,0.55543125,ext
30.010748,1.12883e+43,0653450501,6.076201903771721,162525,134.08490062991407,49.91112127662518,0.54861486,ext
27.997090999999998,1.55927e+43,0653450501,5.899895638738623,61878,134.301848239907,50.704186673249296,0.53549206,ext
31.82609,6.94543e+42,0210280101,27.8361739056041,116924,134.68302963171774,54.23571478879694,0.57800746,ext
25.800375,0.0,0653680101,57.08999742625731,162492,134.95572151156398,93.05300550292941,0.53355426,ext
28.469995,0.0,0653680101,56.99082916295527,108574,135.26210563169835,93.23295840317769,0.52988124,ext
21.773062,0.0,0670880501,16.774637588228355,18584,136.60804602624756,61.947766555476846,0.4234602,ext
55.669617,7.709830000000002e+42,0670880501,16.931967432830564,5985,136.5288755188585,62.06767283174486,0.4228018,ext
21.193373,7.9744e+42,0400830301,39.598365350373065,124465,136.89089742936935,66.12789365500475,0.52736306,ext
23.283304,4.16611e+42,0693662501,17.729967154280907,34319,137.87943112600047,56.67817703886158,0.4843084,ext
41.66555,4.19547e+42,0673150401,29.884301993945503,1380,139.0189945438218,59.83230212203807,0.5134825,ext
26.0292,2.48386e+42,0401170101,30.530261077303802,196,139.99398977655108,92.38340173440065,0.28613323,ext
23.786718,6.28466e+42,0673150201,29.86714489613614,38145,140.60686508033677,85.59520346267391,0.31296507,ext
35.73135999999999,0.0,0502920101,6.75930412886016,47558,140.7040936572574,59.593851775593976,0.42478119999999997,ext
22.230711,8.87775e+42,0553440601,30.457127436617647,40522,141.14373010442273,67.29901447089333,0.43685743,ext
20.522154,6.53774e+43,0553440601,30.51738643521411,115293,141.10707351197192,58.32106794889569,0.5385875,ext
