OBSID,rmid,lambda,Lx,Z,MEM_MATCH_ID
0504480301,217660,24.900331,6.6098e+42,0.53489125,217660
0112830201,227176,21.925611,8.51185e+42,0.5728554,227176
0106460101,229566,27.798777,9.492110000000001e+42,0.54386073,229566
0550960301,232796,20.796743,9.46807e+42,0.49287748,232796
0402750601,244828,21.651022,9.604750000000001e+42,0.46667936,244828
0153030101,246814,28.759840000000004,6.095490000000001e+43,0.57335687,246814
0745320101,248678,20.522154,1.09363e+43,0.5269583999999999,248678
0693430401,253257,20.064505,9.310960000000001e+42,0.5200904000000001,253257
0201750201,264012,22.38326,5.1488100000000003e+42,0.5509951999999999,264012
0601780801,277190,20.827253,1.45872e+43,0.5299058000000001,277190
0723260201,282728,24.198603,9.45213e+42,0.48848772,282728
0402830101,289019,22.38326,5.69085e+42,0.5695520000000001,289019
0782500201,292793,20.781488,7.01654e+42,0.5444184,292793
0722660201,296582,20.400114,7.5575e+42,0.54194325,296582
0403100101,297341,20.857763,1.8025e+42,0.5209590000000001,297341
0553300401,313034,25.44951,2.59738e+42,0.52923506,313034
0651780401,318646,22.47479,2.58187e+43,0.5125069,318646
0790380901,326846,20.07976,7.2603e+42,0.52233374,326846
0762920201,333579,20.491644,1.24482e+43,0.5592188,333579
0112371001,341223,20.04925,6.4069e+42,0.51927185,341223
0724030101,347756,22.184946,8.16021e+42,0.5621012,347756
0693430401,359940,21.544237,6.92494e+42,0.5518223000000001,359940
0403100101,361705,25.617315,2.89477e+42,0.5380568,361705
0202180201,398136,23.771463,2.11705e+42,0.5164372,398136
0693010801,471117,20.14078,9.189190000000001e+42,0.5599064,471117
0553870101,493629,21.986631,2.1421200000000002e+42,0.5469841,493629
0501010101,1508,63.373375,3.16264e+45,0.27234572,1508
0651790101,2190,86.22533,4.24081e+43,0.3971565,2190
0747390143,4421,46.989532,4.7177500000000003e+42,0.26503098,4421
0404967001,5542,59.98676999999999,1.43041e+43,0.43191797,5542
0111270101,5568,24.717272,4.10841e+42,0.22767924,5568
0693010101,6047,30.529417,7.57276e+42,0.35762793,6047
0742510701,6576,33.305824,1.1452800000000001e+45,0.29901165,6576
0674660201,11885,75.08919499999998,1.32588e+43,0.5275486,11885
0202770301,12376,41.65029000000001,3.08634e+43,0.4020296,12376
0747390144,12831,29.400549,8.500080000000001e+42,0.26245114,12831
0677630134,13616,28.48525,1.11619e+43,0.30441907,13616
0673000132,13727,27.707247,2.08672e+43,0.34893528,13727
0200650101,14435,39.545105,6.21585e+42,0.37892947,14435
0110990201,14498,34.358414,1.08896e+43,0.36674014,14498
0655800501,15045,49.201508,3.10522e+43,0.47012135,15045
0722530101,17350,25.63257,8.79428e+42,0.30523765,17350
0083240201,17739,44.518227,3.0366e+43,0.47838852,17739
0106061301,17843,53.884780000000006,2.65883e+43,0.47705847,17843
0401270401,18443,22.62734,3.7705300000000004e+42,0.26980698,18443
0655346842,18692,24.351152,1.3584800000000001e+43,0.26586705,18692
0763300101,19217,35.42626,8.0246e+42,0.4000644,19217
0148742101,19770,27.630972,2.51812e+43,0.35518384,19770
0650380601,19981,35.45677,4.6341e+42,0.38480294,19981
0551720101,20002,46.287804,1.28703e+43,0.48881105,20002
0650382001,20039,24.396917,7.92471e+42,0.33512938,20039
0655380601,20669,34.114334,7.19041e+43,0.393421,20669
0202870201,21754,25.7241,8.89306e+42,0.37426534,21754
0083240201,22096,28.653055,2.86889e+43,0.54656875,22096
0725290152,22131,35.82289,2.0683500000000001e+43,0.49185616,22131
0201900101,22263,29.705648,6.28689e+42,0.3996159,22263
0693661701,22605,21.254393,6.281410000000001e+42,0.26516032,22605
0742830145,22650,30.468397,2.6452600000000004e+43,0.4274102,22650
0551720101,22902,32.100677000000005,6.90427e+42,0.3922084,22902
0720340301,22923,69.810974,2.01213e+43,0.5549158000000001,22923
0037981201,23069,38.873886,2.82495e+43,0.44435024,23069
0650382401,23314,31.61252,2.09926e+43,0.5555185,23314
0401920101,23338,26.959753000000006,6.17649e+42,0.31229115,23338
0306050701,24793,24.000288,1.30304e+42,0.23442878,24793
0782420301,25911,20.583174,1.0521400000000001e+43,0.34669083,25911
0081340801,26522,27.844542,6.54675e+42,0.38709992,26522
0655570701,28360,20.064505,8.684340000000001e+43,0.472954,28360
0673002331,28506,44.213127,4.18855e+43,0.5045954,28506
0204630301,28979,29.400549,9.913560000000001e+42,0.42075622,28979
0150620101,29138,23.649424,2.4944100000000002e+42,0.31485227,29138
0112551101,29166,24.122328,1.3044600000000001e+43,0.35233262,29166
0203170301,29221,28.805605,9.743770000000001e+42,0.39289227,29221
0741031301,29572,24.595232,1.4583800000000002e+43,0.37652022,29572
0504101301,30194,36.18901,9.24274e+42,0.4775238000000001,30194
0303110101,31012,40.063774,2.1801200000000002e+43,0.5161773000000001,31012
0112190401,31699,23.17652,7.193230000000001e+42,0.3402106,31699
0747440136,31972,25.083391,2.91408e+43,0.39163858,31972
0091140401,32256,30.498907,3.40059e+42,0.3711359,32256
0742830151,32602,20.705214,2.6750000000000003e+42,0.3957943,32602
0504101301,33243,29.522589,9.019530000000001e+42,0.50325453,33243
0305920401,33453,37.31788,4.7043e+42,0.39974824,33453
0747190631,33833,27.890306,9.137130000000001e+42,0.40013704,33833
0556210401,33971,28.36321,1.5502700000000002e+43,0.41643846,33971
0784060801,34453,22.917185,4.08362e+42,0.31095698,34453
0653290201,35833,30.010748,5.74127e+42,0.4369953,35833
0037980801,36202,44.655525,6.1538e+43,0.5598605,36202
0747420137,36665,29.720903000000003,4.77985e+43,0.42612538,36665
0303561101,37287,26.258024,5.56269e+43,0.41357848,37287
0301900501,37597,30.865026,9.649550000000001e+42,0.40251678,37597
0150600101,38471,22.215456,1.4606500000000002e+42,0.27032682,38471
