  OBSID       RA_rm                DEC_rm                 Z                     LAMBDA_CHISQ         MEM_MATCH_ID
  0723800301   20.686999768442906   33.13299005037908      0.47726992            20.796743            178234        
  0723800301   20.788860346173294   33.39299679604351      0.28329387            22.078160999999998   33287         
  0723800301   20.91766553536536    33.098186504848925     0.26772812            33.076996            9328          
  0201090401   21.246196560558985   32.16545718238748      0.5312014             21.086588            203510        
  0025541601   21.099409930434998   3.730593255316847      0.3688178             20.659449            72505         
  0201090401   21.349870584479078   32.234290316933304     0.2843776             21.666276999999997   37452         
  0600450301   22.03500824468614    29.205851715793376     0.532633              24.656252            209904        
  0700180201   24.19713289417345    -8.42588640763148      0.42324024            39.484085            42227         
  0693662801   24.35674388137372    -8.638934409660004     0.5619085             44.502975            99828         
  0505400101   25.128540160468845   6.421451228192048      0.47232103            27.676737            85532         
  0747440140   26.85275298318481    -0.12323682915039025   0.32634640000000004   43.892776            10228         
  0747440150   27.510322271257397   0.3405464012274102     0.45773286            25.434256            53156         
  0761730401   27.990525028701587   -8.736511001113431     0.42514956            36.05172             23958         
  0748190101   28.98753893989908    5.5307300714719645     0.49930465            28.225915999999998   39572         
  0203980101   29.163488139419087   32.07950710113259      0.5327451             25.129156            242760        
  0304160301   30.162472004929327   31.31749778513762      0.4500535             20.796743            147682        
  0601740201   30.309702119019175   -7.0289270271176125    0.56316966            27.493677            106444        
  0605000301   30.37904951213277    -2.219153120455393     0.5416328             50.330376            49303         
  0411980201   30.83536513245062    -7.580513529065709     0.5349001999999999    40.979073            42018         
  0677681232   31.516408355281268   -7.414738664599082     0.5102749             20.537409            188200        
  0677690133   31.983413686640798   -6.821629806746521     0.44490343            21.940866            96753         
  0677631601   32.762116803761785   -4.893867661169002     0.1327916             21.071333            10704         
  0677670134   33.141121690085484   -6.202860211778227     0.42393395            33.000725            15904         
  0673110201   33.64999679546216    -3.656524857752257     0.4623488             24.976606            90788         
  0109130301   33.76003432102073    -0.7508955353707758    0.45010352            21.330667000000002   110777        
  0677670131   33.949351111968234   -5.970722529704322     0.41752025            36.127990000000004   26349         
  0404968001   34.057190603922784   -3.640491359732199     0.51431584            20.491644            139578        
