  obsid       rmid     lambda               Lx           Z                     MEM_MATCH_ID   Xreg_HiBk   Xreg_Support   Xreg_OutOTime
  200730301   43877    24.854567000000003   2.95807E43   0.33171597            43877          0.0         0.0            0.0            
  670300101   44007    45.586075            1.32678E43   0.5037318000000001    44007          0.0         0.0            0.0            
  203450101   45193    32.131187            2.33524E43   0.498795              45193          0.0         0.0            0.0            
  783880501   45665    32.497307            3.80167E42   0.4528745             45665          0.0         0.0            0.0            
  305751001   46673    22.520554999999998   2.62317E42   0.2943499             46673          0.0         0.0            0.0            
  693661101   46938    37.882317            2.25979E43   0.55173427            46938          0.0         0.0            0.0            
  56020701    46954    35.395752            4.64231E42   0.5134626             46954          0.0         0.0            0.0            
  674360101   47181    25.464766            1.53457E43   0.4040784             47181          0.0         0.0            0.0            
  674740101   48843    27.661482            3.06469E42   0.41564350000000005   48843          0.0         0.0            0.0            
  605000301   49303    50.330376            4.69011E42   0.5416328             49303          0.0         0.0            0.0            
  652810201   51338    22.032396            6.75172E42   0.43779743            51338          0.0         0.0            0.0            
  203361801   52747    28.973409999999998   1.98253E42   0.39524013            52747          0.0         0.0            0.0            
  747440150   53156    25.434256            1.20084E43   0.45773286            53156          0.0         0.0            0.0            
  762470101   53666    20.567919            8.63053E42   0.35432866            53666          0.0         0.0            0.0            
  763460201   53852    20.842508            6.03341E42   0.41693136            53852          0.0         0.0            0.0            
  200430501   54031    31.582009999999997   1.19372E43   0.49512708            54031          0.0         0.0            0.0            
  603500701   54257    23.23754             4.1225E42    0.35636222            54257          0.0         0.0            0.0            
  784521101   54445    20.07976             2.94693E41   0.37153244            54445          0.0         0.0            0.0            
  143150201   54899    25.220685999999997   7.02208E41   0.40905398            54899          0.0         0.0            0.0            
  110930401   55078    25.556295000000002   7.39249E42   0.38703525            55078          0.0         0.0            0.0            
  1930101     55188    36.250029999999995   1.42625E43   0.51367587            55188          0.0         0.0            0.0            
  147580301   55415    20.01874             4.32163E42   0.36438605            55415          0.0         0.0            0.0            
  601970101   57046    25.083391            9.58353E42   0.41912356            57046          0.0         0.0            0.0            
  723802101   58252    23.313814            2.99948E42   0.4326528             58252          0.0         0.0            0.0            
  502500101   58930    24.976606            5.34761E42   0.39166617            58930          0.0         0.0            0.0            
  56020701    59552    31.902365000000003   8.85213E42   0.47923762            59552          0.0         0.0            0.0            
  653450501   61878    27.997090999999998   1.55927E43   0.53549206            61878          0.0         0.0            0.0            
  203390801   63047    32.863426000000004   2.4139E43    0.47219083            63047          0.0         0.0            0.0            
  782330301   63240    24.213858            3.59192E42   0.40953429999999996   63240          0.0         0.0            0.0            
  694440501   63711    44.121596999999994   7.18382E42   0.503754              63711          0.0         0.0            0.0            
  693990201   64407    27.158068            2.77557E42   0.46429247            64407          0.0         0.0            0.0            
  502860101   64790    20.14078             5.38922E42   0.538851              64790          0.0         0.0            0.0            
  37982601    65029    35.029633000000004   2.31419E43   0.51365983            65029          0.0         0.0            0.0            
  404966301   65760    22.612085            5.92277E42   0.44735345            65760          0.0         0.0            0.0            
  37980701    66811    23.740953            8.17824E42   0.4364514             66811          0.0         0.0            0.0            
  149900301   67524    26.913988            6.72934E42   0.42347735            67524          0.0         0.0            0.0            
  44740201    68944    20.903528            1.32503E43   0.44239366            68944          0.0         0.0            0.0            
  762260101   69759    20.964548            5.77236E42   0.40664324            69759          0.0         0.0            0.0            
  651890301   69827    28.36321             3.57978E42   0.44531637            69827          0.0         0.0            0.0            
  604530101   70596    20.003485            6.69315E42   0.42922878            70596          0.0         0.0            0.0            
  723802201   70750    32.054916            1.45972E43   0.44558990000000004   70750          0.0         0.0            0.0            
  25541601    72505    20.659449            8.06097E43   0.3688178             72505          0.0         0.0            0.0            
  111282601   72610    23.756207999999997   1.91005E43   0.47410232            72610          0.0         0.0            0.0            
  763780701   73969    36.26529             5.48808E42   0.4945958             73969          0.0         0.0            0.0            
  5210101     77836    24.122328            8.99747E42   0.46153950000000005   77836          0.0         0.0            0.0            
  147630101   80606    26.21226             9.49673E42   0.51725745            80606          0.0         0.0            0.0            
  146990201   80720    23.756207999999997   3.70384E43   0.48701120000000003   80720          0.0         0.0            0.0            
  605000501   80950    22.99346             3.14553E43   0.48831220000000003   80950          0.0         0.0            0.0            
  765081001   83532    31.200636            1.12304E43   0.56165045            83532          0.0         0.0            0.0            
  651100301   85080    23.451109            3.57779E43   0.44698760000000004   85080          0.0         0.0            0.0            
  505400101   85532    27.676737            1.12689E43   0.47232103            85532          0.0         0.0            0.0            
  693010401   86675    20.125525            1.4701E43    0.57194453            86675          0.0         0.0            0.0            
  784521701   87721    26.349553999999998   2.43465E43   0.50897205            87721          0.0         0.0            0.0            
  653810501   88909    24.320642000000003   8.97149E42   0.45567214            88909          0.0         0.0            0.0            
  85640201    89929    22.093416            2.03831E42   0.38692218            89929          0.0         0.0            0.0            
  673110201   90788    24.976606            6.78332E42   0.4623488             90788          0.0         0.0            0.0            
  744930401   91019    28.180151000000002   9.96486E42   0.53103286            91019          0.0         0.0            0.0            
  693010601   93096    20.903528            7.21753E42   0.49576908            93096          0.0         0.0            0.0            
  504102001   94547    21.254393            9.65604E42   0.5155031             94547          0.0         0.0            0.0            
  694580101   95002    26.608889            6.8761E43    0.5043488             95002          0.0         0.0            0.0            
  677690133   96753    21.940866            1.94378E43   0.44490343            96753          0.0         0.0            0.0            
  106061101   100455   35.76187             9.31245E42   0.55925167            100455         0.0         0.0            0.0            
  783881201   102337   23.20703             1.22919E43   0.4748549             102337         0.0         0.0            0.0            
  111550401   102606   27.325871999999997   6.91992E42   0.46180370000000004   102606         0.0         0.0            0.0            
  60370901    103516   21.345922            6.94123E43   0.5256783             103516         0.0         0.0            0.0            
  152530101   106108   21.178117999999998   3.93671E42   0.3947593             106108         0.0         0.0            0.0            
  305920101   107804   21.467962            1.29697E43   0.51361537            107804         0.0         0.0            0.0            
  504102001   108125   22.84091             5.94127E42   0.5028439             108125         0.0         0.0            0.0            
  203361201   110316   21.422197            3.12101E42   0.48617920000000003   110316         0.0         0.0            0.0            
  551870301   110719   22.398516            6.09532E42   0.5265624             110719         0.0         0.0            0.0            
  300210701   111304   29.141214            3.18329E43   0.5386554             111304         0.0         0.0            0.0            
  17940101    113137   28.36321             1.06398E43   0.5579531             113137         0.0         0.0            0.0            
  99030101    115156   20.659449            3.17248E43   0.5594409             115156         0.0         0.0            0.0            
  553440601   115293   20.522154            6.53774E43   0.5385875             115293         0.0         0.0            0.0            
  723801201   116210   22.047651000000002   5.95842E42   0.51576024            116210         0.0         0.0            0.0            
  601780401   116258   20.125525            3.57725E43   0.49181703            116258         0.0         0.0            0.0            
  112552001   116467   21.605257            1.60791E45   0.46530694            116467         0.0         0.0            0.0            
  210280101   116924   31.82609             6.94543E42   0.57800746            116924         0.0         0.0            0.0            
  655380901   117257   23.939268            2.07412E43   0.44189880000000004   117257         0.0         0.0            0.0            
  502220301   117465   24.518957            6.90084E42   0.5630129             117465         0.0         0.0            0.0            
  503600201   117621   20.811998000000003   1.72212E43   0.55057573            117621         0.0         0.0            0.0            
  502120101   119561   29.354784000000002   3.94927E42   0.5145858             119561         0.0         0.0            0.0            
